
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
394	31	21	5
395	5	35	25
396	34	24	6
397	28	46	38
398	19	29	5
399	21	31	9
400	31	13	23
401	22	32	42
402	5	19	29
403	47	27	37
404	26	14	34
405	4	34	18
406	5	19	29
407	35	25	5
408	15	33	25
409	33	23	5
410	35	26	16
411	25	35	43
412	12	32	24
413	11	31	23
414	38	30	18
415	16	26	34
416	12	31	22
417	36	28	18
418	15	3	23
419	4	24	14
420	25	17	7
421	47	16	39
422	12	24	34
423	3	13	23
424	5	15	25
425	15	3	23
426	15	5	23
427	20	8	28
428	19	7	33
429	19	29	5
430	16	26	36
431	10	30	20
432	9	27	19
433	3	23	13
434	21	9	31
435	8	32	20
436	20	28	6
437	33	16	5
438	25	7	17
439	40	32	22
440	13	31	23
441	21	29	7
442	8	40	30
443	20	32	40
444	28	38	18
445	18	4	34
446	29	21	9
447	15	5	23
448	28	5	18
449	27	19	5
450	3	18	27
451	20	30	7
452	20	6	30
453	14	32	24
454	7	25	17
455	36	26	16
456	40	32	22
457	8	38	28
458	22	34	42
459	7	37	20
460	36	26	44
461	7	15	23
462	3	22	13
463	33	23	5
464	27	3	17
465	14	32	24
466	5	25	17
467	25	17	5
468	27	17	5
469	12	32	22
470	22	42	32
471	18	8	28
472	27	17	35
473	20	38	30
474	30	8	20
475	9	19	27
476	14	24	34
477	33	5	23
478	169	157	190
479	32	16	44
480	9	27	19
481	23	3	15
482	9	29	21
483	16	36	28
484	3	13	23
485	28	18	6
486	30	3	20
487	19	27	9
488	11	29	21
489	12	30	22
490	19	27	3
491	26	36	44
492	23	33	41
493	9	37	25
494	26	34	16
495	5	25	16
496	24	36	9
497	16	26	35
498	22	32	42
499	66	37	58
500	23	33	9
501	23	15	5
502	35	5	19
503	11	29	21
504	33	7	23
505	14	24	34
506	39	21	9
507	16	33	4
508	23	31	9
509	27	15	3
510	5	21	29
511	34	14	24
512	18	38	30
513	19	7	27
514	22	40	32
515	91	101	144
516	7	27	17
517	35	26	16
518	28	5	18
519	9	31	21
520	9	27	19
521	31	7	19
522	35	25	3
523	5	15	25
524	30	4	20
525	29	7	19
526	94	51	41
527	23	5	15
528	27	15	3
529	2533	2492	2482
530	9	40	28
531	14	32	24
532	27	17	7
533	22	40	32
534	24	12	32
535	8	20	28
536	38	18	30
537	17	33	3
538	1723	1711	1731
539	3	19	27
540	31	11	21
541	6	16	25
542	7	115	103
543	20	8	30
544	27	46	37
545	22	40	32
546	14	26	34
547	7	17	27
548	24	14	34
549	30	10	22
550	6903	6915	6923
551	12	22	32
552	36	7	24
553	81	93	101
554	4	20	28
555	27	19	9
556	42	6	26
557	36	16	26
558	7	23	31
559	37	58	68
560	22	40	32
561	26	6	16
562	25	45	35
563	11	31	23
564	9	29	21
565	28	10	20
566	7	37	21
567	19	27	5
568	36	20	6
569	64	43	31
570	21	31	5
571	9	19	29
572	38	20	30
573	26	16	36
574	27	17	5
575	11	31	23
576	18	6	26
577	12	22	30
578	9	33	23
579	25	15	35
580	19	31	39
581	18	27	3
582	7	29	19
583	18	28	38
584	7	37	18
585	20	10	28
586	5	33	23
587	22	42	34
588	26	14	34
589	19	29	5
590	22	42	34
591	13	33	23
592	980	968	990
593	7	17	27
594	15	35	26
595	3	27	17
596	673	663	716
597	38	30	20
598	20	6	30
599	16	26	36
600	9	36	26
601	17	27	3
602	14	32	24
603	32	3	22
604	12	32	22
605	10	30	22
606	7	25	17
607	21	29	11
608	192	160	170
609	47	35	92
610	18	38	28
611	20	30	3
612	5	19	27
613	9	19	27
614	39	9	21
615	7	17	25
616	32	14	24
617	23	7	35
618	15	5	23
619	13	23	31
620	11	31	23
621	33	13	25
622	36	28	16
623	26	14	34
624	42	23	38
625	13	33	25
626	34	24	5
627	26	36	8
628	25	35	45
629	30	20	9
630	17	25	7
631	26	36	9
632	36	26	16
633	8	28	18
634	23	3	13
635	21	9	29
636	36	28	18
637	26	3	16
638	18	28	40
639	39	31	19
640	30	6	20
641	41	23	33
642	7	17	27
643	8	22	32
644	26	14	34
645	21	29	7
646	3	19	27
647	9	29	19
648	21	29	7
649	24	34	42
650	109	91	99
651	752	721	733
652	34	5	24
653	304	347	292
654	20	30	38
655	3	19	27
656	14	24	36
657	23	33	5
658	23	15	5
659	21	7	31
660	187	216	197
661	16	26	35
662	10	28	20
663	3	13	21
664	32	22	42
665	22	10	30
666	23	43	35
667	33	25	15
