
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
388	17	5	27
389	15	25	5
390	15	23	3
391	24	4	16
392	15	25	5
393	3	23	13
394	17	7	30
395	16	25	6
396	7	3	10882
397	15	25	5
398	15	23	5
399	27	17	7
400	3	23	15
401	15	5	25
402	16	25	5
403	25	5	15
404	5	25	17
405	25	17	5
406	3	15	23
407	13	3	23
408	25	17	5
409	7	27	19
410	23	13	3
411	17	7	27
412	5	25	15
413	3	7	12251
414	23	3	15
415	3	14841	8
416	13	23	3
417	15	23	3
418	5	17	27
419	17	5	25
420	5	23	15
421	3	23	15
422	5	17	25
423	23	15	5
424	5	17	25
425	27	17	7
426	5	15	25
427	23	3	15
428	3	23	14
429	4	16	24
430	15	23	5
431	900	920	912
432	23	5	15
433	23	15	3
434	3	3056	1135
435	5	15	25
436	3	15	23
437	13	23	3
438	16	25	5
439	13	5	23
440	13	23	3
441	25	5	15
442	3	7	15380
443	3	13	23
444	3	23	13
445	15	5	25
446	14653	3	7
447	3	15	23
448	25	16	5
449	15	3	23
450	3	10242	3
451	17	25	5
452	13	15984	3
453	25	5	17
454	3	3	15151
455	25	15	5
456	3	9455	7
457	25	5	17
458	25	15	5
459	3	15	23
460	3	6970	7
461	14	23	3
462	15	3	23
463	13	3	23
464	16	5	25
465	11018	3	8
466	25	5	17
467	25	15	5
468	5	25	17
469	3	15	23
470	5	25	15
471	5	25	17
472	23	3	15
473	439	458	427
474	13	23	3
475	7	3	6289
476	5	17	25
477	23	15	3
478	25	15	5
479	5	15	25
480	3	7227	3
481	23	15	3
482	23	13	3
483	24	4	14
484	7	25	17
485	25	5	17
486	3	251	7730
487	25	5	15
488	3	15	25
489	23	15	3
490	5	15	27
491	3	15	23
492	5	17	25
493	25	15	5
494	3	12626	3
495	23	3	15
496	16	24	4
497	4	24	16
498	26	5	16
499	3	3	6762
500	16	5	25
501	25	15	5
502	1513	1503	1523
503	16	24	4
504	5	17	25
505	7	15545	3
506	17	25	5
507	46	36	26
508	23	15	3
509	17	5	25
510	10888	3	7
511	23	15	3
512	25	17	5
513	15	23	3
514	25	17	5
