Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
348	178	130	3838
349	412	365	4072
350	322	275	3982
351	865	815	4523
352	337	290	3997
353	137	88	3797
354	866	817	4526
355	446	397	4106
356	7	1007	3665
357	731	682	4390
358	210	162	3870
359	894	845	4551
360	75	25	3735
361	399	350	4057
362	409	359	4065
363	243	194	3901
364	750	702	4410
365	321	272	3979
366	227	177	3885
367	506	459	4163
368	485	438	4144
369	324	275	3984
370	1054	1005	3666
371	711	663	4369
372	739	691	4399
373	18	1018	3677
374	898	850	4556
375	690	643	4350
376	103	54	3760
377	825	775	4483
378	312	262	3970
379	1036	989	3648
380	427	380	4087
381	336	288	3996
382	127	78	3783
383	596	549	4256
384	1013	963	3621
385	323	273	3979
386	930	881	4588
387	317	267	3975
388	403	353	4059
389	291	243	3947
390	356	307	4014
391	202	153	3858
392	812	765	4470
393	328	279	3987
394	628	580	4284
395	502	455	4160
396	324	277	3982
397	656	607	4314
398	748	700	4404
399	595	545	4253
400	626	579	4285
401	114	66	3774
402	324	275	3980
403	336	286	3994
404	481	432	4140
405	24	1024	3684
406	754	705	4412
407	296	248	3954
408	305	256	3962
409	763	714	4418
410	210	161	3870
411	770	723	4426
412	692	643	4350
413	617	569	4275
414	1021	972	3633
415	405	358	4063
416	123	76	3783
417	24	1024	3683
418	849	800	4507
419	215	166	3871
420	133	84	3791
421	521	471	4177
422	483	436	4143
423	998	948	3604
424	125	76	3784
425	101	51	3759
426	690	543	4251
427	132	1035	3693
428	758	613	4318
429	71	973	3634
430	607	460	4168
431	407	260	3966
432	982	835	4545
433	783	636	4342
434	1033	886	3544
435	78	980	3641
436	275	128	3834
437	258	113	3819
438	91	994	3654
439	984	839	4547
440	268	121	3828
441	979	834	4539
442	851	804	4414
443	877	830	4440
444	172	125	3733
445	215	168	3778
446	362	315	3923
447	881	833	4440
448	585	535	4145
449	326	276	3886
450	345	295	3903
451	724	674	4286
452	1027	980	3542
453	1012	965	3525
454	581	531	4140
455	82	33	3641
456	453	404	4012
457	180	130	3740
458	350	301	3909
459	900	850	4458
460	698	648	4254
461	1004	957	3517
462	652	605	4211
463	798	751	4357
464	355	305	3913
465	703	655	4262
466	58	9	3615
467	931	882	4488
468	105	58	3666
469	510	461	4069
470	100	52	3660
471	64	16	3625
472	970	920	4526
473	548	500	4108
474	217	168	3778
475	943	894	4502
476	873	826	4432
477	796	749	4355
478	546	498	4106
479	419	372	3978
480	510	461	4067
481	5	1005	3567
482	148	100	3707
483	1008	959	3521
484	373	326	3932
485	273	224	3832
486	195	146	3754
487	1020	972	3532
488	579	532	4142
489	624	577	4185
490	176	126	3738
491	853	803	4415
492	821	773	4383
493	808	760	4367
494	331	282	3892
495	463	415	4025
496	845	796	4408
497	838	789	4399
498	1044	995	3561
499	583	536	4150
500	1029	980	3545
501	898	851	4461
502	278	228	3838
503	47	1048	3613
504	643	593	4205
505	462	412	4024
506	986	938	4548
507	851	802	4414
508	551	502	4116
509	517	468	4082
510	881	831	4445
511	445	395	4005
512	585	537	4149
513	193	145	3753
514	93	46	3658
515	281	232	3846
516	431	384	3996
517	505	455	4067
518	46	1048	3609
519	405	357	3969
520	1050	1002	3566
521	587	539	4151
522	398	348	3962
523	385	335	3945
524	444	397	4007
525	380	331	3943
526	725	676	4290
527	701	652	4264
528	575	528	4138
529	287	237	3849
530	686	639	4251
531	1008	961	4567
532	396	348	3956
533	186	138	3750
534	429	382	3992
535	452	403	4016
536	203	155	3765
537	551	501	4111
538	78	31	3641
539	619	571	4178
540	709	661	4271
541	274	224	3833
542	24	1024	3585
543	81	32	3643
544	416	369	3975
545	881	832	4440
546	266	219	3825
547	344	295	3903
548	767	718	4328
549	401	352	3960
550	482	435	4043
551	227	178	3786
552	484	436	4046
553	744	696	4305
554	551	504	4110
555	725	678	4284
