Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
330	855	906	4365
331	927	2016	4432
332	463	514	3977
333	911	2000	4418
334	778	829	4288
335	959	2048	4464
336	791	842	4303
337	830	1919	4335
338	215	266	3726
339	809	1898	4314
340	652	703	4165
341	194	1283	3699
342	492	544	4005
343	1034	1085	3499
344	515	566	4026
345	723	1812	4228
346	870	921	4380
347	635	1726	4144
348	1039	41	3504
349	570	1658	4075
350	356	407	3870
351	985	26	4487
352	786	838	4297
353	740	1828	4243
354	369	420	3879
355	87	1176	3590
356	367	418	3876
357	68	1155	3570
358	67	118	3574
359	223	1312	3726
360	1043	46	3505
361	605	1692	4105
362	979	2072	3439
363	292	1381	3793
364	254	305	3763
365	363	1452	3864
366	14	65	3521
367	1015	1066	3474
368	899	950	4409
369	83	1168	3583
370	312	363	3821
371	556	1643	4058
372	1013	14	3474
373	695	1782	4194
374	918	970	4429
375	861	1950	4366
376	380	432	3887
377	522	1609	4023
378	213	264	3720
379	414	1503	3917
380	408	459	3918
381	10	1099	3513
382	438	489	3947
383	404	1491	3907
384	891	943	4402
385	571	1660	4072
386	147	198	3658
387	168	1255	3670
388	243	294	3750
389	124	1211	3624
390	105	156	3615
391	355	1442	3858
392	599	648	4106
393	5	1094	3508
394	70	122	3579
395	880	1969	4382
396	522	573	4033
397	112	1201	3615
398	120	171	3630
399	541	1630	4043
400	60	111	3565
401	734	1823	4235
402	367	418	3876
403	666	1753	4168
404	198	249	3707
405	614	1701	4117
406	924	975	4435
407	870	1958	4371
408	474	525	3983
409	448	1535	3947
410	365	417	3874
411	977	18	4475
412	1036	40	3500
413	657	1744	4159
414	819	870	4328
415	556	1643	4057
416	961	1012	4470
417	941	2028	4440
418	241	293	3748
419	980	23	4479
420	526	578	4035
421	817	1905	4320
422	565	617	4072
423	496	1585	3998
424	709	761	4220
425	449	1538	3954
426	322	373	3832
427	511	1599	4014
428	386	437	3897
429	278	1367	3781
430	961	2058	3427
431	410	1499	3913
432	163	214	3673
433	665	1754	4170
434	1018	20	3484
435	16	1105	3519
436	496	547	4006
437	187	1276	3690
438	669	720	4178
439	884	1973	4391
440	61	112	3574
441	914	2003	4421
442	852	904	4361
443	1002	43	4506
444	1041	44	3504
445	49	1136	3551
446	127	178	3638
447	146	1234	3651
448	178	229	3688
449	980	24	4483
450	430	482	3939
451	275	1362	3778
452	871	922	4383
453	102	1191	3607
454	153	205	3664
455	307	1394	3810
456	1046	48	3508
457	982	23	4484
458	76	127	3586
459	118	1206	3623
460	127	178	3638
461	412	1501	3915
462	312	363	3821
463	31	1118	3534
464	873	925	4384
465	329	1418	3834
466	998	2095	3462
467	269	1356	3772
468	581	632	4090
469	884	1973	4387
470	247	298	3759
471	601	1690	4104
472	209	261	3718
473	845	1934	4348
474	427	478	3938
475	194	1283	3699
476	562	613	4072
477	151	1239	3656
478	852	904	4367
479	845	1934	4350
480	193	244	3705
481	423	1512	3928
482	832	883	4347
483	625	1714	4128
484	487	538	3998
485	975	18	4479
486	159	210	3669
487	528	1616	4033
488	95	146	3608
489	661	1752	4170
490	639	690	4153
491	453	1543	3960
492	82	133	3598
493	388	1478	3898
494	59	110	3575
495	136	1224	3643
496	70	122	3585
497	76	1165	3585
498	906	958	4421
499	89	1180	3596
500	577	628	4090
501	927	2018	4436
502	280	331	3793
503	414	1502	3919
504	541	593	4054
505	839	1926	4344
506	965	2059	3430
507	314	1401	3818
508	374	425	3886
509	143	1230	3646
510	817	868	4327
511	468	1556	3971
512	784	836	4297
513	379	1468	3886
514	44	96	3553
515	320	1407	3823
516	779	830	4290
517	981	24	4485
518	416	467	3924
519	809	1898	4312
520	640	692	4151
521	63	1152	3566
522	879	930	4390
523	133	1221	3636
524	676	727	4186
525	102	1191	3607
526	515	566	4026
527	256	1345	3761
528	1033	35	3499
529	657	1746	4164
530	198	249	3708
531	935	2024	4440
532	1046	48	3510
533	802	1891	4307
534	187	238	3699
535	824	1913	4329
536	383	435	3892
537	648	1738	4154
538	87	138	3600
539	922	2011	4427
540	1029	31	3495
541	181	1270	3688
542	943	994	4453
543	552	1639	4059
544	565	617	4074
545	975	16	4477
546	852	904	4363
547	145	1232	3648
548	1016	18	3482
549	230	1321	3735
550	386	437	3996
551	621	1710	4128
552	432	484	4041
553	267	1356	3870
554	938	989	4552
555	1003	45	4607
556	5	56	3615
557	263	1352	3866
558	659	710	4269
559	181	1270	3786
560	1043	45	3606
561	31	1120	3634
562	640	692	4250
563	487	1576	4089
564	907	958	4519
565	701	1789	4305
566	691	742	4301
567	692	1778	4292
568	80	133	3688
569	271	1360	3873
570	58	109	3670
571	964	5	4566
572	807	858	4417
573	950	2038	4550
574	690	741	4300
575	988	31	4588
576	766	817	4376
577	1019	1069	3581
578	329	381	3939
579	470	1558	4070
580	717	768	4327
581	708	1795	4309
582	554	605	4164
583	964	5	4566
584	886	938	4495
585	90	1178	3690
586	608	660	4217
587	680	1769	4281
588	955	1007	4564
589	958	2045	4558
590	734	785	4342
591	127	1214	3727
592	279	330	3889
593	609	1697	4211
594	912	963	4520
595	906	1993	4509
596	180	231	3788
597	677	1765	4281
598	665	716	4275
599	190	1279	3791
600	442	493	4054
601	580	1671	4183
602	961	1012	4569
603	714	1800	4312
604	588	640	4197
605	1000	1050	3560
606	931	982	4541
607	196	1285	3799
608	788	840	4396
609	245	1334	3847
610	725	776	4337
611	755	1844	4356
612	851	902	4463
613	483	1572	4086
614	886	937	4498
615	63	1152	3666
616	684	735	4294
617	730	1819	4333
618	44	95	3656
619	172	1263	3776
620	655	706	4265
621	710	1797	4311
622	185	236	3799
623	1039	1091	3601
624	813	864	4423
625	213	1302	3814
626	652	703	4260
627	393	1481	3997
628	641	692	4249
629	794	1883	4398
630	331	382	3941
631	471	1560	4074
632	565	616	4175
633	222	1309	3823
634	626	677	4236
635	303	1392	3905
636	590	642	4198
637	967	106	4566
638	969	2065	3532
639	380	1469	3982
640	415	466	4025
641	265	1354	3868
642	374	426	3981
643	121	1210	3722
644	225	276	3835
645	321	1408	3922
646	926	2022	3487
647	894	35	4494
648	236	287	3846
649	642	1731	4245
650	882	1976	3443
651	995	1046	3555
652	18	166	3626
653	868	9	4468
654	699	848	4307
655	435	1621	4035
656	700	851	4312
657	843	2029	4446
658	804	954	4414
659	642	1829	4243
660	462	611	4072
661	933	1082	3495
662	312	463	3924
663	899	40	4499
664	50	198	3658
665	318	1407	3821
666	943	45	3505
667	858	1947	4363
668	245	296	3754
669	451	1540	3954
670	522	573	4027
671	352	1439	3851
