Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
347	395	1448	7
348	480	1531	6
349	1234	5	181
350	2110	5	1057
351	1809	5	756
352	111	1168	2223
353	5	220	1275
354	1473	4	422
355	1986	5	934
356	5	986	2041
357	2176	64	1121
358	810	1862	7
359	4	373	1430
360	1389	7	336
361	5	820	1877
362	254	1307	5
363	963	2016	7
364	2139	31	1088
365	1740	7	685
366	5	299	1354
367	1847	5	792
368	7	600	1654
369	191	1246	6
370	1263	4	208
371	1174	2228	123
372	2025	5	970
373	5	662	1721
374	1475	6	424
375	556	1611	7
376	672	1727	7
377	123	1176	2231
378	7	278	1333
379	1824	5	771
380	5	574	1629
381	6	964	2021
382	5	259	1316
383	1045	2098	5
384	1988	5	934
385	2059	5	1006
386	1843	4	789
387	5	818	1871
388	1768	6	713
389	1911	5	857
390	7	430	1489
391	1453	4	401
392	1618	7	565
393	244	1299	7
394	7	953	2008
395	884	1939	7
396	227	1280	7
397	960	2013	7
398	1481	5	428
399	516	1569	6
400	426	1483	7
401	5	1003	2058
402	1755	5	702
403	24	126	1183
404	5	916	1972
405	5	910	1967
406	1927	5	876
407	150	1205	40
408	1083	2139	31
409	430	1483	7
410	5	537	1594
411	316	1371	7
412	2121	15	1070
413	5	265	1320
414	2070	5	1017
415	151	1206	18
416	1494	5	441
417	671	1724	6
418	558	1611	5
419	493	1548	6
420	84	233	1287
421	29	182	1239
422	5	666	1721
423	70	1127	5
424	921	1976	5
425	1536	5	482
426	1731	7	680
427	60	230	1288
428	1843	7	788
429	1946	5	895
430	1180	5	128
431	302	1357	6
432	458	1513	7
433	777	1830	7
434	750	1801	6
435	1005	2058	6
436	1360	5	306
437	867	1920	7
438	1395	7	338
439	593	1646	7
440	1123	5	71
441	5	169	1226
442	760	1811	7
443	1698	4	647
444	5	634	1691
445	1080	2132	25
446	7	981	2038
447	7	100	1155
448	216	1271	5
449	1140	5	89
450	1194	6	139
451	5	608	1663
452	2113	4	1058
453	1590	6	535
454	1123	7	72
455	1369	77	316
456	706	1761	7
457	473	1526	7
458	5	738	1795
459	1215	7	162
460	4	88	1145
461	7	257	1314
462	6	810	1865
463	518	1571	6
464	333	1386	74
465	40	304	1361
466	5	379	1436
467	1603	5	548
468	2005	5	951
469	5	468	1525
470	1220	5	167
471	1856	5	803
472	979	2030	7
473	514	1569	7
474	5	405	1460
475	1361	20	310
476	5	405	1460
477	7	66	1123
478	5	833	1890
479	7	488	1543
480	5	793	1846
481	7	465	1522
482	1004	2057	7
483	1881	5	826
484	713	1770	9
485	243	1298	7
486	715	1770	7
487	1646	5	591
488	372	1427	48
489	452	1505	7
490	1138	7	85
491	1468	82	413
492	5	749	1804
493	4	758	1811
494	5	846	1903
495	46	1101	6
496	5	883	1940
497	948	2001	7
498	413	1466	65
499	640	1693	6
500	596	1651	6
501	1918	4	863
502	7	1030	2085
503	4	311	1368
504	5	477	1534
505	7	841	1898
506	592	1643	7
507	445	1500	73
508	479	1536	104
509	12	1066	2122
510	5	1022	2077
511	859	1912	6
512	1513	72	460
513	1056	2109	6
514	2021	6	971
515	5	85	1142
516	5	106	1163
517	5	361	1416
518	2109	5	1054
519	5	325	1380
520	1823	5	769
521	5	810	1863
522	5	591	1646
523	1911	5	860
524	1987	5	936
525	5	590	1646
526	5	59	1114
527	1755	5	700
528	306	1359	7
529	1081	2136	28
530	5	959	2016
531	2023	4	969
532	1620	5	569
533	1055	2108	7
534	1056	2109	6
535	5	355	1412
536	6	139	1194
537	1828	5	775
538	5	372	1427
539	453	1508	9
540	911	1964	6
541	5	377	1432
542	1753	7	700
543	368	1421	6
544	7	130	1185
545	5	113	1170
546	773	1828	7
547	5	788	1845
548	5	869	1926
549	497	1552	14
550	1873	7	818
551	1215	5	162
552	5	415	1468
553	1919	4	864
554	427	1483	7
555	5	803	1858
556	1239	5	186
557	5	831	1884
558	1254	6	201
559	5	756	1811
560	5	449	1504
561	5	426	1483
562	252	1307	7
563	1406	5	355
564	706	1761	7
565	6	79	1134
566	630	1685	102
567	6	420	1477
568	1792	5	741
569	1673	77	620
570	419	1474	7
571	1931	5	880
572	86	1139	8
573	143	1194	5
574	7	760	1813
575	975	2028	6
576	1580	6	525
577	1410	5	355
578	5	379	1434
579	1314	7	263
580	897	1948	7
581	82	653	1708
582	1982	5	929
583	5	135	1190
584	1391	6	338
585	149	1204	7
586	2055	7	1002
587	1918	5	867
588	336	1391	5
589	6	746	1799
590	1170	7	119
591	1255	7	201
592	417	1472	7
593	5	460	1516
594	969	2024	6
595	244	1297	7
596	209	1262	7
597	7	518	1573
598	1155	5	101
599	1740	63	687
600	713	1765	92
601	57	1112	7
602	5	115	1168
