Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
346	646	698	4358
347	668	718	4380
348	457	508	4170
349	192	242	3905
350	181	232	3894
351	434	485	4149
352	53	104	3766
353	402	452	4114
354	37	86	3746
355	972	1022	3637
356	125	175	3836
357	320	369	4031
358	847	896	4558
359	911	962	4622
360	149	200	3862
361	262	313	3971
362	457	508	4172
363	312	363	4025
364	1020	22	3686
365	695	745	4410
366	389	439	4101
367	1027	29	3691
368	495	546	4208
369	27	77	3737
370	201	253	3913
371	683	733	4395
372	90	141	3801
373	894	943	4609
374	1014	14	3678
375	571	621	4281
376	326	375	4039
377	569	621	4279
378	325	375	4038
379	470	520	4185
380	69	118	3784
381	800	851	4513
382	5	54	3718
383	393	442	4100
384	35	86	3746
385	1011	13	3677
386	390	441	4099
387	592	641	4301
388	103	154	3814
389	204	255	3915
390	468	520	4180
391	826	876	4536
392	371	420	4082
393	97	146	3810
394	1011	11	3677
395	247	297	3957
396	494	543	4205
397	884	936	4596
398	95	145	3805
399	143	193	3856
400	887	938	4598
401	358	407	4071
402	702	751	4415
403	1007	7	3673
404	875	924	4588
405	190	239	3903
406	612	663	4325
407	357	408	4067
408	654	705	4367
409	575	624	4286
410	623	673	4337
411	87	138	3800
412	170	219	3885
413	609	658	4322
414	1000	1051	3665
415	136	186	3851
416	192	242	3905
417	258	308	3971
418	473	525	4186
419	972	1022	3637
420	236	285	3949
421	813	863	4528
422	663	714	4376
423	361	413	4075
424	526	575	4239
425	377	428	4092
426	845	896	4560
427	206	255	3919
428	886	935	4599
429	779	831	4492
430	498	547	4211
431	320	369	4033
432	845	896	4554
433	356	407	4067
434	762	811	4471
435	445	496	4156
436	125	174	3836
437	293	343	4003
438	14	63	3725
439	9	60	3720
440	427	478	4136
441	467	516	4178
442	82	133	3795
443	354	403	4067
444	95	146	3806
445	725	774	4434
446	967	1018	3632
447	404	455	4115
448	768	818	4481
449	20	69	3729
450	63	113	3778
451	568	617	4283
452	284	333	3999
453	751	803	4466
454	873	922	3540
455	351	403	4063
456	524	575	4237
457	888	939	3553
458	163	214	3874
459	862	912	3525
460	644	693	4355
461	635	685	4346
462	762	813	4472
463	430	480	4138
464	406	455	4111
465	44	193	3752
466	732	881	4440
467	506	654	4217
468	646	795	4357
469	451	598	4160
470	633	780	4342
471	860	1009	3525
472	703	851	4410
473	992	91	3654
474	335	482	4044
475	158	307	3873
476	410	559	4125
477	993	93	3658
478	629	778	4341
479	24	172	3741
480	673	821	4386
481	310	457	4021
482	225	276	3842
483	830	881	4445
484	262	312	3874
485	239	288	3855
486	447	497	4063
487	479	530	4095
488	588	637	4201
489	996	1046	3564
490	372	423	3986
491	790	840	4406
492	693	744	4311
493	918	968	4532
494	426	478	4040
495	23	73	3637
496	451	502	4067
497	384	433	3999
498	411	463	4027
499	134	183	3749
500	380	431	3990
501	286	338	3902
502	601	652	4217
503	873	924	4490
504	824	876	4440
505	391	442	4007
506	508	559	4125
507	342	394	3956
508	595	645	4209
509	551	600	4163
510	225	276	3838
511	610	662	4222
512	811	862	4425
513	1014	16	3583
514	106	158	3720
515	451	503	4063
516	157	206	3769
517	432	482	4046
518	884	936	4500
519	622	671	4234
520	503	553	4117
521	180	231	3795
522	45	96	3660
523	224	275	3838
524	476	525	4089
525	767	816	4378
526	474	523	4086
527	53	103	3665
528	744	795	4356
529	136	186	3750
530	507	558	4123
531	244	294	3858
532	160	212	3776
533	761	810	4375
534	758	810	4376
535	455	506	4070
536	923	973	4535
537	420	469	4037
538	271	322	3887
539	680	731	4292
540	16	68	3628
541	129	178	3742
542	972	1023	3540
543	1033	37	3602
544	462	512	4076
545	128	178	3742
546	1048	50	3615
547	161	210	3777
548	665	716	4276
549	704	754	4318
550	514	566	4126
551	359	411	3973
552	933	982	4543
553	78	129	3691
554	912	961	4524
555	224	273	3836
556	839	890	4453
557	646	697	4256
558	788	840	4402
559	43	94	3657
560	166	215	3778
561	569	621	4181
562	839	891	4453
563	792	843	4406
564	834	883	4444
565	135	186	3748
566	348	398	3960
567	300	351	3913
568	339	388	3951
569	740	792	4354
570	401	450	4016
571	961	1010	4576
572	262	313	3878
573	209	260	3825
574	923	975	4539
575	947	996	4560
576	313	362	3925
577	852	901	4468
578	253	304	3868
579	28	79	3645
580	546	598	4164
581	327	379	3939
582	1035	35	3603
583	849	898	4460
584	1021	21	3588
585	451	500	4063
586	694	744	4310
587	636	686	4250
588	106	158	3722
589	790	842	4406
590	207	257	3821
591	449	500	4063
592	766	815	4380
593	551	600	4165
594	614	663	4226
595	1031	33	3598
596	1016	18	3583
597	1045	47	3608
598	920	971	4534
599	153	205	3767
600	658	709	4271
601	772	821	4384
602	384	435	3998
603	616	665	4228
604	189	240	3801
605	951	1001	4567
606	282	334	3894
607	924	973	4534
608	440	489	4052
609	1048	48	3613
610	616	668	4230
611	706	757	4320
612	985	1034	3551
613	838	887	4450
614	956	1005	3523
615	948	998	4562
616	166	217	3782
617	883	932	4502
618	892	941	4504
619	841	891	4455
620	1009	9	3574
621	551	600	4165
622	670	721	4288
623	209	259	3823
624	928	979	4543
625	51	103	3669
626	978	1027	3546
627	253	304	3868
628	408	459	4024
629	637	686	4253
630	399	448	4014
631	764	814	4378
632	751	800	4365
633	80	129	3697
634	970	1020	3538
635	918	968	4532
636	453	504	4067
637	393	444	4010
638	902	953	4513
639	697	748	4313
640	946	996	4558
641	973	1024	3538
642	71	120	3685
643	558	609	4173
644	794	845	4410
645	39	88	3654
646	42	91	3656
647	864	913	4477
648	955	1006	3521
649	283	332	3897
650	82	133	3695
651	7	58	3623
652	1044	46	3611
653	132	181	3742
654	168	217	3782
655	971	1022	3538
656	931	980	4543
657	959	1010	4575
658	265	316	3877
659	50	99	3664
660	472	523	4088
661	652	701	4266
662	974	1025	3541
663	787	837	4403
664	312	362	3924
665	31	80	3645
666	967	1018	3534
667	176	227	3792
668	158	208	3772
669	297	348	3913
670	231	281	3845
671	24	75	3637
672	308	358	3922
673	978	1029	3543
674	764	816	4380
675	31	80	3643
676	883	932	4495
677	138	189	3752
678	191	240	3803
679	858	907	4474
680	812	863	4525
681	751	802	4464
682	466	516	4179
683	423	472	4134
684	787	838	4500
685	580	632	4293
686	1011	11	3679
687	378	427	4091
688	239	290	3952
689	324	375	4037
690	318	369	4033
691	434	485	4147
692	775	827	4487
693	168	219	3883
694	286	337	3999
695	347	396	4058
696	957	1007	3622
697	115	167	3828
698	299	349	4010
699	408	458	4122
700	978	1027	3643
701	988	1037	3651
702	20	71	3733
703	54	103	3767
704	67	118	3782
705	620	670	4333
706	1018	20	3684
707	419	470	4132
708	116	165	3829
709	657	707	4368
710	166	215	3877
711	699	750	4412
712	927	976	4638
713	72	123	3785
714	1003	1052	3668
715	678	729	4391
716	1029	31	3696
717	194	244	3908
718	920	969	4631
719	778	829	4491
720	303	353	4018
721	114	165	3823
722	855	904	4566
723	729	778	4442
724	798	849	4513
725	69	120	3782
726	5	54	3716
727	408	458	4120
728	1037	41	3703
729	498	548	4211
730	371	420	4080
731	67	118	3778
732	99	148	3810
733	899	949	4607
734	849	900	4564
735	22	72	3735
736	860	909	4571
737	831	881	4545
738	510	559	4221
739	665	717	4378
740	1029	31	3694
741	863	914	4576
742	721	772	4434
743	425	476	4136
744	504	553	4213
745	746	797	4459
746	757	808	4470
747	945	996	4660
748	127	177	3838
749	73	124	3788
750	774	823	4487
751	481	532	4198
752	999	1050	3664
753	473	525	4185
754	72	123	3785
755	91	140	3804
756	804	853	4519
757	757	808	4472
758	817	866	4526
759	429	478	4138
760	271	322	3986
761	194	245	3907
762	133	184	3848
763	380	431	4093
764	13	62	3724
765	203	253	3914
766	538	589	4253
767	449	501	4163
768	325	375	4038
769	895	946	4608
770	500	551	4215
771	160	209	3873
772	376	427	4089
773	398	450	4112
774	568	617	4277
775	312	364	4024
776	483	533	4193
777	699	748	4410
778	811	863	4525
779	647	696	4358
780	813	862	4524
781	39	88	3750
782	286	338	4000
783	1050	52	3714
784	547	598	4260
785	103	152	3816
786	711	761	4423
787	1038	40	3704
788	1016	16	3678
789	676	725	4387
790	1004	6	3669
791	588	639	4299
792	789	838	4502
793	136	187	3849
794	130	180	3842
795	31	83	3743
796	674	723	4385
797	396	446	4111
798	766	818	4478
799	798	847	4507
800	84	135	3795
801	511	560	4222
802	4	56	3718
803	834	883	4545
804	11	62	3726
805	47	96	3758
806	1030	31	3694
807	634	684	4348
808	117	166	3830
809	217	266	3932
810	44	93	3757
811	680	730	4393
812	790	842	4505
813	44	193	3759
814	918	969	3583
815	379	528	4093
816	836	984	4547
817	650	799	4363
818	5	154	3720
819	18	167	3731
820	243	392	3958
821	459	605	4170
822	116	265	3831
823	964	63	3632
824	560	709	4272
825	983	82	3649
826	706	855	4421
827	74	223	3783
828	387	536	4098
829	599	746	4312
830	873	1021	3538
831	952	51	3616
832	912	11	3580
833	425	474	4040
834	770	820	4390
835	281	332	3898
836	204	255	3823
837	162	212	3778
838	172	221	3788
839	255	304	3870
840	859	909	4477
841	520	572	4136
842	425	476	4044
843	130	180	3748
844	1026	28	3593
845	832	881	4446
846	757	808	4373
847	528	578	4144
848	160	210	3776
849	374	423	3988
850	481	532	4096
851	691	740	4303
852	660	711	4275
853	305	355	3919
854	26	77	3641
855	56	107	3671
856	252	302	3864
857	999	1048	3566
858	153	203	3767
859	845	896	4462
860	821	872	4433
861	620	669	4230
862	106	155	3720
863	314	366	3930
864	1015	17	3582
865	856	905	4470
866	217	268	3832
867	813	862	4428
868	867	919	4485
869	393	442	4008
870	108	159	3723
871	411	461	4025
872	78	127	3697
873	443	495	4059
874	410	460	4020
875	758	810	4374
876	238	287	3853
877	740	789	4355
878	528	579	4146
879	326	377	3941
880	54	105	3667
881	954	1003	4567
882	873	922	4488
883	430	481	4046
884	776	827	4390
885	57	108	3673
886	911	962	4526
887	632	681	4245
888	262	311	3875
889	301	352	3913
890	988	1037	3555
891	249	298	3866
892	599	649	4215
893	583	632	4197
894	939	988	4554
895	455	505	4069
896	515	566	4133
897	888	938	4504
898	708	759	4321
899	416	467	4032
900	864	915	4481
901	733	784	4348
902	615	666	4234
903	1010	12	3581
904	468	518	4084
905	129	178	3744
906	440	490	4056
907	228	279	3845
908	119	169	3733
909	916	967	4533
910	631	682	4247
911	676	726	4288
912	541	592	4155
913	918	967	4530
914	150	201	3765
915	612	663	4228
916	1016	18	3581
917	48	98	3662
918	734	784	4348
919	29	81	3645
920	64	114	3678
921	594	643	4212
922	136	185	3748
923	359	411	3975
924	418	469	4033
925	455	504	4069
926	460	510	4076
927	516	568	4132
928	630	679	4243
929	294	345	3909
930	223	272	3838
931	1031	33	3600
932	599	648	4215
933	967	1018	3534
934	342	391	3958
935	453	504	4066
936	199	251	3813
937	211	261	3827
938	723	775	4339
939	732	782	4348
940	247	296	3859
941	554	603	4169
942	318	370	3936
943	245	296	3860
944	974	1024	3544
945	1029	29	3598
946	408	459	4022
947	568	617	4183
948	359	411	3977
949	95	144	3709
950	202	252	3814
951	635	684	4246
952	490	540	4106
953	671	722	4286
954	499	549	4117
955	1020	22	3590
956	176	227	3793
957	483	533	4099
958	331	382	3948
959	731	782	4348
960	82	133	3700
961	708	759	4323
962	633	684	4250
963	961	1012	3531
964	421	471	4041
965	123	175	3743
966	427	476	4044
967	935	986	4556
968	323	375	3943
969	461	512	4078
970	804	853	4423
971	524	575	4144
972	367	418	3986
973	485	535	4103
974	132	182	3750
975	363	414	3984
976	161	210	3780
977	631	683	4249
978	337	386	3954
979	930	981	4545
980	491	540	4107
981	114	165	3731
982	927	976	4545
983	680	729	4298
984	991	1041	3561
985	816	868	4436
986	425	476	4044
987	954	1005	3521
988	421	472	4040
989	1001	1052	3570
990	629	678	4248
991	177	227	3795
992	290	341	3909
993	226	275	3843
994	298	347	3917
995	157	206	3776
996	247	298	3870
997	653	704	4276
998	901	951	4523
999	99	148	3718
