Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
316	86	135	3581
317	1042	1089	3489
318	691	741	4189
319	1555	1603	4003
320	65	114	3562
321	1520	1569	3969
322	268	315	3763
323	1800	1849	4251
324	412	461	3907
325	1075	1123	3523
326	462	510	3958
327	1795	1841	4239
328	433	480	3928
329	1713	1763	4161
330	2078	39	3491
331	1173	1222	3622
332	562	611	4057
333	1798	1847	4247
334	187	235	3681
335	1646	1695	4093
336	65	115	3561
337	1685	1735	4133
338	483	533	3977
339	1460	1509	3906
340	152	201	3643
341	1961	66	4408
342	373	422	3864
343	1210	1258	3656
344	16	163	3514
345	1104	1151	3551
346	652	799	4145
347	1704	1751	4151
348	661	806	4155
349	1865	1914	4313
350	158	305	3654
351	1868	1916	4318
352	2001	59	3412
353	1920	26	4365
354	670	817	4164
355	1681	1828	4126
356	5	152	3499
357	93	142	4479
358	865	1010	4361
359	1036	1183	3484
360	860	907	4256
361	11	60	4395
362	539	587	3938
363	1490	1637	3935
364	1900	2047	3313
365	1576	1723	4021
366	892	939	4286
367	1250	1297	3598
368	2071	35	3385
369	1720	1768	4069
370	344	391	3738
371	1162	1211	3510
372	303	352	3701
373	1801	1849	4149
374	415	463	3808
375	1475	1523	3823
376	469	519	3866
377	1101	1149	3449
378	855	904	4249
379	1220	1270	3568
380	550	600	3947
381	1267	1315	3615
382	451	499	3850
383	1617	1667	3967
384	78	127	3478
385	1163	1211	3511
386	562	611	3958
387	1694	1744	4043
388	318	368	3713
389	1670	1717	4020
390	280	328	3675
391	1914	1963	4264
392	354	402	3750
393	7	56	4387
394	763	812	4159
395	1066	1114	3416
396	637	684	4033
397	1370	1417	3720
398	560	609	3956
399	1329	1378	3679
400	2026	2074	3340
401	1223	1271	3573
402	532	580	3928
403	1690	1738	4039
404	875	924	4273
405	1505	1554	3853
406	211	258	3605
407	1364	1412	3714
408	2009	2057	3323
409	1492	1542	3842
410	882	929	4278
411	1569	1617	3919
412	299	347	3697
413	1173	1223	3523
414	2064	25	3378
415	1634	1683	3982
416	129	176	3527
417	37	86	4421
418	464	511	3860
419	1874	1922	4224
420	2025	2074	3340
421	1735	1783	4082
422	361	410	3757
423	44	92	4423
424	2066	31	3378
425	1466	1513	3814
426	719	767	4113
427	1251	1301	3601
428	2058	18	3372
429	1347	1397	3695
430	93	142	3491
431	1574	1623	3926
432	875	922	4271
433	1488	1537	3834
434	912	959	4308
435	1503	1550	3851
436	164	213	3560
437	1732	1780	4080
438	952	1000	4347
439	1981	2029	4331
440	766	813	4162
441	1514	1562	3863
442	785	833	4178
443	1495	1545	3847
444	912	962	4312
445	48	97	4434
446	929	978	4327
447	1126	1176	3476
448	309	356	3705
449	1775	1825	4125
450	2048	11	3361
451	1603	1650	3953
452	603	652	4003
453	2044	50	4391
454	96	144	3495
455	1349	1396	3699
456	727	774	4125
457	1387	1436	3739
458	421	468	3821
459	1863	1912	4215
460	701	750	4099
461	1334	1381	3684
462	301	348	3699
463	1627	1676	3977
464	313	362	3711
465	1679	1729	4029
466	682	729	4080
467	1754	1804	4104
468	2053	15	3369
469	1233	1281	3583
470	337	386	3733
471	1421	1468	3771
472	258	307	3658
473	1037	1086	3388
474	2046	11	3361
475	1833	1880	4181
476	760	808	4156
477	1316	1365	3664
478	403	450	3799
479	1173	1220	3521
480	83	131	3480
481	1814	1863	4162
482	294	341	3688
483	1227	1277	3577
484	2057	20	3369
485	1274	1323	3624
486	565	613	3963
487	1130	1177	3478
488	172	219	3566
