Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
314	10797	227	5517
315	6141	854	11420
316	11550	6265	972
317	11246	5970	685
318	11051	490	5773
319	884	11432	6158
320	10616	52	5337
321	6021	744	11295
322	11243	5958	665
323	5302	10	10585
324	5456	10743	169
325	11280	5993	704
326	875	6164	11443
327	6086	11368	798
328	281	10854	5571
329	943	11516	6233
330	747	11315	6036
331	64	10634	5353
332	802	6089	11370
333	504	5793	11076
334	10869	5586	299
335	5710	10993	417
336	10829	5556	280
337	5437	10718	152
338	11201	639	5922
339	11443	888	6169
340	6024	11463	738
341	693	5980	11259
342	166	10744	5457
343	11349	783	6070
344	6027	11308	740
345	10674	5391	100
346	249	5541	10830
347	11101	5828	546
348	10654	5382	102
349	10801	5524	243
350	6059	772	11340
351	4809	10101	15384
352	208	5496	10778
353	11445	862	6158
354	6065	780	11348
355	930	11505	6220
356	6208	920	11490
357	785	11363	6078
358	10652	5382	101
359	5823	11106	534
360	5348	58	10633
361	11283	6007	718
362	166	10736	5455
363	954	6245	11528
364	6317	1030	11602
365	5340	54	10622
366	689	5978	11263
367	5485	10770	198
368	11362	6076	785
369	10592	9	5301
370	541	11122	5837
371	6315	11602	1023
372	622	11197	5912
373	11482	6197	906
374	727	6018	11299
375	5	5293	10576
376	333	10903	5624
377	6173	11454	886
378	372	5651	10933
379	6177	11454	892
380	10712	5429	140
381	11280	710	5998
382	11562	993	6280
383	474	11042	5761
384	10580	5301	9
385	33	5320	10605
386	6182	905	11454
387	706	11276	5993
388	11249	678	5964
389	228	5517	10798
390	11218	652	5939
391	31	10601	5318
392	10865	5588	301
393	10785	219	5506
394	6076	11361	789
395	714	6006	11288
396	3	10578	5295
397	5674	10953	389
398	11684	6405	1114
399	37	5316	10588
400	410	5689	10972
401	11332	6049	761
402	11456	6177	888
403	35	5318	10599
404	10717	5434	147
405	5717	432	10999
406	5296	10577	7
407	10975	5692	407
408	596	11162	5881
409	5311	10590	22
410	897	11456	6182
411	384	5678	10965
412	166	10743	5457
413	10594	5307	16
414	6265	974	11548
415	10742	5455	164
416	5839	548	11128
417	5798	11081	511
418	6036	11318	750
419	11381	6100	807
420	10976	5704	427
421	5753	11035	468
