Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
315	558	5821	11079
316	299	5569	10832
317	3	5280	10550
318	101	5374	10642
319	697	5973	11239
320	1003	6274	11544
321	914	6188	11456
322	103	5384	10656
323	805	6081	11347
324	552	5828	11098
325	426	5698	10970
326	408	5684	10956
327	761	6027	11288
328	779	6047	11319
329	305	5581	10855
330	903	6177	11445
331	101	5375	10643
332	395	5669	10939
333	661	5941	11213
334	950	6229	11499
335	340	5616	10886
336	695	5970	11238
337	286	5563	10829
338	368	5635	10895
339	412	5678	10937
340	627	5903	11171
341	792	6072	11342
342	1004	6278	11546
343	185	5451	10714
344	545	5819	11089
345	577	5851	11127
346	966	6242	11512
347	819	6093	11365
348	597	5873	11143
349	335	5613	10875
350	859	6124	11383
351	209	5475	10734
352	819	6083	11342
353	114	5378	10635
354	1010	6269	11524
355	532	5800	11062
356	233	5499	10758
357	931	6207	11477
358	271	5549	10817
359	63	5340	10612
360	335	5612	10884
361	421	5697	10969
362	307	5583	10853
363	939	6216	11486
364	663	5938	11208
365	1023	6301	11569
366	466	5743	11017
367	116	5393	10663
368	352	5618	10882
369	865	6141	11409
370	496	5772	11042
371	783	6056	11323
372	903	6179	11447
373	674	5950	11222
374	76	5352	10618
375	93	5371	10646
376	1002	6276	11548
377	274	5548	10844
378	254	5530	10800
379	581	5856	11130
380	290	5566	10836
381	405	5682	10956
382	267	5541	10815
383	10558	16	5288
384	53	5331	10603
385	10576	28	5305
386	549	5826	11106
387	716	5997	11276
388	991	6267	11539
389	772	6051	11325
390	712	5988	11261
391	965	6245	11518
392	10563	16	5291
393	418	5697	10975
394	24	5294	10564
395	102	5378	10652
396	473	5747	11017
397	588	5862	11130
398	659	5931	11201
399	896	6166	11432
400	256	5528	10796
401	912	6179	11441
402	226	5498	10762
403	490	5753	11017
404	144	5412	10677
405	896	6166	11430
406	367	5639	10905
407	441	5711	10978
408	717	5989	11257
409	264	5535	10805
410	323	5593	10867
411	10588	39	5318
412	191	5465	10733
413	633	5910	11180
414	147	5423	10695
415	907	6182	11458
416	97	5371	10639
417	340	5616	10891
418	774	6049	11319
419	451	5733	11004
420	445	5719	10989
421	85	5359	10625
422	43	5318	10588
423	379	5661	10929
424	748	6022	11288
425	616	5888	11158
426	323	5595	10859
427	944	6218	11486
428	968	6250	11520
429	905	6184	11452
430	5292	10560	12
431	984	6259	11529
432	38	5312	10580
433	292	5564	10830
434	25	5300	10570
435	830	6104	11372
436	783	6059	11327
437	951	6227	11499
438	950	6224	11492
439	669	5943	11213
440	893	6173	11443
441	581	5856	11125
442	568	5841	11111
443	848	6120	11396
444	1010	6280	11544
445	453	5730	11006
446	573	5848	11116
447	708	5984	11254
448	723	5996	11266
449	500	5772	11042
450	37	5310	10580
451	866	6136	11406
452	108	5379	10648
453	246	5520	10788
454	637	5911	11181
455	511	5785	11053
456	731	6006	11275
457	147	5421	10691
458	775	6055	11321
459	380	5658	10926
460	624	5895	11164
461	980	6254	11522
462	121	5397	10665
463	93	5363	10633
464	11	5285	10555
465	128	5402	10670
466	401	5674	10942
467	278	5554	10826
468	348	5622	10890
469	10584	41	5316
470	326	5600	10866
471	669	5948	11218
472	196	5472	10744
473	448	5729	10999
474	927	6201	11462
475	706	5982	11243
476	55	5329	10595
477	800	6072	11338
478	656	5929	11197
479	824	6104	11374
480	955	6229	11497
481	102	5372	10639
482	1027	6301	11569
483	435	5707	10975
484	333	5604	10876
485	297	5569	10835
486	731	6005	11273
487	856	6129	11398
488	985	6255	11523
489	893	6186	11473
490	963	6235	11505
491	476	5747	11017
492	44	5314	10581
493	177	5445	10708
494	824	6096	11359
495	894	6165	11432
496	368	5631	10886
497	282	5552	10817
498	419	5693	10957
499	400	5668	10933
500	160	5428	10689
501	22	5295	10559
502	642	5912	11177
503	265	5539	10807
504	675	5948	11218
505	588	5865	11129
506	1029	6301	11569
507	573	5849	11121
508	27	5297	10565
509	348	5623	10893
510	717	5991	11259
511	16	5294	10566
512	806	6078	11346
513	498	5771	11040
514	569	5847	11117
515	40	5312	10580
516	944	6216	11486
517	356	5629	10898
518	418	5688	10956
519	5285	10555	11
520	669	5943	11209
521	165	5444	10716
522	162	5438	10706
523	665	5938	11206
524	700	5972	11244
525	498	5776	11044
526	230	5504	10776
527	455	5727	10997
528	42	5318	10590
529	119	5391	10665
530	136	5415	10685
531	927	6203	11476
532	507	5781	11057
533	190	5464	10732
534	869	6146	11418
535	440	5713	10983
536	496	5775	11045
537	627	5903	11173
538	837	6113	11383
539	657	5935	11207
540	665	5943	11214
541	725	5993	11255
542	873	6149	11419
543	794	6070	11343
544	704	5982	11256
545	269	5545	10817
546	910	6192	11463
547	734	6010	11278
548	170	5444	10712
549	498	5774	11044
550	760	6036	11312
551	406	5680	10956
552	98	5372	10638
553	534	5809	11083
554	462	5738	11004
555	516	5792	11058
556	563	5841	11107
557	937	6213	11483
558	689	5961	11231
559	997	6273	11548
560	747	6021	11293
561	770	6038	11304
562	595	5869	11143
563	111	5389	10661
564	884	6163	11428
565	275	5554	10824
566	721	6000	11272
567	989	6266	11538
568	877	6156	11428
569	588	5862	11128
570	999	6275	11543
571	316	5588	10852
572	93	5368	10640
573	153	5429	10701
574	442	5715	10985
575	450	5727	10997
576	819	6092	11361
577	558	5830	11096
578	734	6008	11279
579	666	5942	11212
580	969	6245	11520
581	863	6146	11422
582	1038	6313	11589
583	916	6192	11460
584	983	6257	11527
585	956	6233	11501
586	261	5537	10803
587	284	5558	10832
588	383	5659	10931
589	117	5387	10649
590	354	5629	10898
591	536	5811	11083
592	942	6218	11488
593	884	6160	11434
594	460	5736	11008
595	826	6105	11375
596	478	5744	11001
597	475	5749	11015
598	387	5659	10927
599	324	5596	10862
600	421	5695	10967
601	354	5630	10902
602	648	5920	11190
603	121	5395	10656
604	843	6117	11385
605	839	6115	11385
606	162	5438	10710
607	933	6207	11475
608	85	5361	10631
609	942	6219	11488
610	821	6100	11368
611	303	5582	10850
612	942	6216	11488
613	477	5757	11029
614	893	6159	11422
615	82	5358	10626
616	573	5846	11115
617	54	5330	10598
618	181	5455	10727
619	63	5337	10607
620	601	5882	11152
621	372	5646	10920
622	682	5957	11231
623	415	5693	10967
624	535	5815	11083
625	80	5354	10622
626	337	5613	10885
627	899	6174	11450
628	430	5704	10981
629	606	5880	11148
630	162	5436	10708
631	352	5629	10899
632	442	5721	10991
633	569	5841	11107
634	588	5868	11142
635	654	5931	11205
636	549	5826	11100
637	594	5879	11158
638	87	5368	10640
639	226	5503	10775
640	882	6161	11433
641	268	5545	10819
642	959	6235	11509
643	10555	23	5291
644	103	5377	10647
