Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
314	293	5574	10846
315	493	5770	11044
316	110	5389	10665
317	393	5670	10944
318	641	5922	11194
319	298	5577	10849
320	1012	6291	11563
321	555	5832	11108
322	676	5953	11225
323	291	5573	10844
324	147	5415	10680
325	113	5397	10676
326	10557	7	5285
327	80	5363	10638
328	845	6113	11378
329	127	5407	10682
330	892	6160	11424
331	337	5613	10883
332	311	5584	10851
333	305	5584	10864
334	518	5798	11071
335	815	6092	11366
336	101	5371	10639
337	659	5942	11216
338	474	5755	11025
339	431	5710	10986
340	671	5948	11222
341	802	6081	11357
342	245	5524	10796
343	728	6006	11278
344	931	6214	11486
345	488	5766	11038
346	521	5796	11072
347	1015	6298	11578
348	976	6255	11527
349	408	5684	10958
350	176	5455	10729
351	419	5696	10974
352	982	6261	11533
353	1015	6293	11570
354	10555	7	5287
355	564	5843	11113
356	963	6235	11499
357	303	5584	10854
358	24	5297	10569
359	878	6154	11426
360	820	6098	11370
361	378	5665	10940
362	250	5531	10811
363	950	6231	11507
364	888	6165	11433
365	256	5537	10813
366	110	5391	10663
367	453	5727	11002
368	989	6270	11546
369	987	6272	11552
370	588	5867	11143
371	357	5636	10916
372	357	5642	10919
373	628	5913	11186
374	301	5578	10850
375	534	5815	11091
376	706	5983	11255
377	980	6259	11535
378	751	6033	11303
379	192	5471	10749
380	198	5476	10748
381	256	5540	10817
382	278	5559	10831
383	825	6104	11380
384	388	5665	10939
385	647	5924	11198
386	725	5997	11270
387	978	6258	11528
388	558	5841	11117
389	897	6175	11448
390	873	6151	11424
391	756	6025	11289
392	59	5331	10608
393	914	6191	11465
394	401	5680	10952
395	405	5684	10958
396	808	6089	11363
397	669	5946	11220
398	192	5468	10740
399	8	5291	10564
400	895	6178	11452
401	40	5318	10595
402	386	5663	10939
403	471	5749	11021
404	487	5767	11042
405	588	5869	11146
406	939	6216	11484
407	404	5678	10957
408	445	5724	11000
409	126	5408	10679
410	370	5649	10927
411	448	5733	11005
412	1034	6312	11582
413	942	6220	11494
414	1034	6314	11589
415	463	5748	11019
416	80	5358	10632
417	522	5800	11072
418	764	6040	11311
419	418	5695	10967
420	1006	6289	11561
421	834	6113	11387
422	548	5828	11099
423	893	6171	11448
424	647	5928	11203
425	1014	6293	11572
426	272	5551	10825
427	716	5993	11267
428	896	6177	11453
429	329	5595	10860
430	181	5461	10733
431	239	5516	10790
432	617	5894	11170
433	84	5361	10631
434	319	5588	10850
435	131	5406	10680
436	41	5309	10573
437	701	5971	11233
438	150	5433	10701
439	699	5978	11254
440	388	5669	10943
441	7	5287	10565
442	924	6199	11475
443	777	6051	11319
444	592	5864	11132
445	303	5575	10845
446	644	5920	11188
447	298	5570	10840
448	1010	6284	11560
449	646	5918	11188
450	978	6252	11520
451	636	5910	11182
452	350	5624	10894
453	412	5688	10956
454	916	6189	11459
455	931	6210	11482
456	170	5451	10725
457	142	5418	10692
458	281	5562	10838
459	10557	9	5286
460	421	5701	10971
461	353	5636	10912
462	99	5373	10641
463	700	5976	11248
464	241	5513	10781
465	97	5368	10640
466	388	5663	10932
467	207	5483	10753
468	166	5440	10708
469	811	6083	11349
470	822	6098	11368
471	1004	6284	11554
472	155	5431	10703
473	363	5639	10907
474	161	5436	10708
475	123	5403	10677
476	760	6045	11323
477	733	6010	11286
478	466	5740	11012
479	869	6151	11421
480	577	5852	11126
481	264	5541	10813
482	601	5877	11145
483	738	6013	11282
484	732	6006	11274
485	418	5699	10969
486	292	5567	10837
487	877	6156	11428
488	160	5438	10710
489	354	5631	10903
490	681	5957	11229
491	515	5791	11063
492	852	6122	11387
493	987	6255	11518
494	510	5789	11059
495	462	5743	11017
496	941	6207	11475
497	443	5719	10989
498	10562	14	5290
499	260	5539	10811
500	164	5441	10711
501	622	5899	11169
502	498	5775	11047
503	505	5787	11060
504	680	5955	11231
505	118	5393	10665
506	296	5573	10845
507	275	5550	10818
508	209	5487	10761
509	243	5519	10791
510	215	5495	10766
511	269	5550	10824
512	434	5713	10991
513	978	6260	11533
514	470	5750	11021
515	459	5736	11014
516	725	6001	11273
517	1036	6315	11589
518	949	6231	11503
519	10571	16	5296
520	141	5421	10696
521	595	5876	11150
522	715	5994	11270
523	446	5727	11003
524	269	5548	10820
525	529	5809	11081
526	224	5502	10779
527	867	6143	11417
528	858	6134	11404
529	670	5950	11222
530	696	5972	11244
531	854	6130	11402
532	708	5985	11255
533	795	6070	11342
534	575	5851	11123
535	198	5475	10753
536	383	5661	10933
537	927	6203	11464
538	659	5925	11195
539	228	5503	10775
540	209	5487	10762
541	866	6145	11417
542	214	5492	10764
543	9	5288	10560
544	85	5364	10636
545	678	5955	11225
546	230	5498	10759
547	687	5957	11221
548	931	6197	11458
549	819	6089	11355
550	56	5337	10612
551	228	5503	10777
552	478	5755	11027
553	505	5781	11051
554	201	5475	10743
555	562	5836	11108
556	41	5316	10586
557	114	5387	10657
558	858	6131	11400
559	969	6245	11516
560	879	6154	11426
561	735	6014	11286
562	558	5835	11113
563	10578	27	5306
564	931	6208	11480
565	650	5925	11199
566	35	5311	10583
567	812	6087	11361
568	436	5714	10986
569	344	5618	10892
570	5280	10548	6
571	975	6248	11518
572	451	5727	10995
573	918	6203	11477
574	759	6040	11318
575	266	5545	10821
576	391	5667	10942
577	903	6181	11453
578	3	5283	10558
579	37	5314	10588
580	202	5479	10755
581	819	6096	11368
582	633	5912	11184
583	851	6130	11406
584	427	5706	10982
585	654	5931	11201
586	837	6113	11384
587	461	5737	11012
588	866	6149	11423
589	303	5580	10854
590	198	5476	10744
591	250	5526	10798
592	268	5543	10815
593	718	5991	11263
594	5282	10556	5
595	774	6049	11321
596	269	5547	10822
597	451	5730	11006
598	871	6156	11432
599	419	5702	10980
600	129	5410	10687
601	427	5710	10985
602	916	6197	11475
603	995	6274	11552
604	117	5408	10687
605	181	5461	10734
606	183	5459	10731
607	876	6154	11428
608	866	6143	11413
609	727	5995	11265
610	713	5989	11257
611	794	6068	11338
612	479	5758	11026
613	431	5699	10963
614	976	6245	11507
615	91	5369	10640
616	744	6021	11299
617	599	5890	11167
618	550	5826	11100
619	20	5297	10567
620	222	5500	10775
621	447	5725	10989
622	980	6255	11525
623	399	5675	10946
624	131	5408	10684
625	390	5673	10952
626	1006	6287	11561
627	461	5742	11021
628	277	5560	10836
629	612	5893	11173
630	577	5860	11142
631	387	5664	10938
632	171	5449	10726
633	429	5697	10965
634	794	6071	11345
635	261	5543	10818
636	60	5339	10615
637	239	5517	10790
638	739	6017	11293
639	357	5636	10910
640	183	5461	10733
641	42	5322	10597
642	106	5383	10655
643	10593	42	5322
644	108	5386	10659
645	800	6079	11355
