Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
316	10569	5	5287
317	10574	3	5291
318	10573	5	5292
319	5292	5	10573
320	5	10549	5277
321	10581	16	5300
322	10562	3	5286
323	10567	5	5288
324	10574	5295	10
325	10591	5314	29
326	23	10579	5304
327	3	10564	5283
328	11	5286	10562
329	5286	8	10562
330	10559	8	5286
331	9	10563	5289
332	5284	10564	7
333	10563	9	5290
334	5286	10560	9
335	7	5292	10573
336	5286	10569	5
337	10569	5291	3
338	5296	10573	9
339	3	10565	5285
340	9	10575	5295
341	10573	5298	17
342	5289	11	10571
343	7	5290	10572
344	5299	10580	19
345	3	5292	10569
346	5288	10563	8
347	5286	5	10567
348	5291	6	10570
349	7	5293	10570
350	7	10569	5294
351	5	5292	10567
352	5288	10569	4
353	10554	5286	10
354	5288	6	10565
355	5292	10573	11
356	10563	3	5283
357	5288	10564	7
358	10564	5288	5
359	10560	5284	5
360	5295	10575	7
361	10562	5287	7
362	20	10582	5299
363	5287	9	10564
364	5278	10554	5
365	5	5285	10564
366	20	10576	5303
367	7	5289	10566
368	10559	3	5287
369	10564	5290	11
370	10567	7	5293
371	10543	5277	5
372	8	10559	5285
373	18	10573	5295
374	5288	10562	11
375	7	10557	5285
376	5283	7	10557
377	10549	5279	3
378	3	5281	10557
379	10558	5	5286
380	5286	10556	8
381	3	5273	10537
382	5282	10558	5
383	5286	10561	5
384	10563	5290	10
385	7	10558	5282
386	9	5286	10559
387	10564	10	5290
388	5285	9	10559
389	7	5288	10562
390	5285	7	10561
391	24	10584	5304
392	5	10568	5285
393	5291	9	10572
394	5304	20	10589
395	10556	5285	9
396	5	10563	5286
397	10563	5286	5
398	3	10558	5284
399	9	10568	5290
400	10563	5	5285
401	5296	10575	7
402	5291	10573	6
403	5287	5	10567
404	5288	10567	3
405	7	5289	10567
406	16	10574	5298
407	5290	10	10566
408	10569	5292	5
409	10573	5296	16
410	10565	5290	5
411	5281	3	10559
412	5286	6	10570
413	10	10574	5294
414	5290	10565	9
415	10580	10	5299
416	5292	9	10567
417	10557	3	5283
418	10556	16	5289
419	5290	10565	10
420	5290	10567	8
421	10567	7	5287
422	5	5291	10568
423	10550	8	5283
424	9	10574	5291
425	10566	5290	5
426	10576	11	5299
427	10564	5288	5
428	10558	5289	4
429	5289	11	10559
430	5314	10589	31
431	5286	10564	5
432	5284	10562	3
433	10571	5293	10
434	5	5289	10574
435	3	5288	10567
436	10	5300	10582
437	5298	10575	11
438	10577	5301	16
439	10554	6	5283
440	10563	7	5285
441	9	5293	10573
442	10578	5297	10
443	9	5290	10571
444	5292	9	10573
445	10571	9	5292
446	11	5292	10569
447	5285	10561	10
448	5285	9	10553
449	10549	6	5281
450	5294	10	10570
451	5303	10586	18
452	8	10576	5299
453	5292	7	10570
454	10548	5	5280
455	5279	10556	7
456	6	10565	5290
457	11	10570	5291
458	10588	5309	26
459	7	5290	10569
460	5291	7	10568
461	10573	5294	11
462	10571	5290	9
463	10567	5290	8
464	10567	5291	4
465	5	5287	10568
466	5289	5	10567
467	18	5304	10584
468	5288	10566	5
469	5286	3	10566
470	9	10559	5285
471	5	5283	10555
472	3	10574	5289
473	11	5292	10573
474	3	10568	5288
475	10575	5298	17
476	7	10580	5297
477	10560	3	5284
478	16	10589	5306
479	6	5283	10557
480	9	10567	5288
481	5295	8	10580
482	7	5292	10577
483	5	5292	10577
484	4	10581	5294
485	10576	3	5293
486	7	10567	5288
487	6	10580	5293
488	8	10581	5296
489	5301	11	10584
490	11	5304	10591
491	5296	10579	5
492	5298	8	10583
493	10584	11	5303
494	5292	10577	7
495	8	5300	10589
496	5	10578	5295
497	8	5300	10587
498	3	10582	5297
499	3	10574	5290
500	3	10569	5286
501	15	5302	10583
502	5292	5	10577
503	5	10565	5290
504	16	10588	5305
505	16	10592	5305
506	5294	10577	7
507	5291	10576	3
508	10575	5	5292
509	10579	5294	5
510	5	10579	5294
511	9	5299	10584
512	10575	7	5293
513	5296	7	10579
514	10595	15	5310
515	5301	10590	9
516	5	10581	5296
517	5293	5	10577
518	10573	16	5298
519	5295	10579	5
520	5307	10594	18
521	10574	5291	4
522	5293	10574	4
523	5310	24	10593
524	5296	10577	11
525	5	10575	5291
526	3	5287	10570
527	10581	11	5298
528	5293	10576	6
529	10583	5301	14
530	5301	10588	10
531	10582	9	5299
532	5294	8	10577
533	5297	10580	6
534	5303	16	10590
535	5298	6	10583
536	3	10571	5290
537	10573	3	5293
538	10576	7	5291
539	20	5306	10586
540	10572	5	5289
541	8	10572	5293
542	9	10572	5294
543	26	10596	5312
544	3	10569	5290
